ProblemName,NumDims,PopSize,AlgorithmName,PValue,Change
Rosenbrock,50,40,default_adaptive_de_rand_1_bin,0.0022548899320195747,-
Schwefel 2.21,5,20,default_adaptive_de_current_to_best_1_bin,0.01017749077267749,-
Schwefel 1.2,50,50,default_adaptive_de_current_to_best_1_bin,0.0223651910187066,+
Schwefel 2.21,5,20,default_adaptive_de_current_to_rand_1_bin,0.04498494503267421,-
Griewank,100,90,default_adaptive_de_current_to_rand_1_bin,0.029382183653606543,+
Rosenbrock,5,20,default_adaptive_de_rand_to_best_1_bin,0.004172057988163692,+
Rastrigin,100,90,default_adaptive_de_rand_to_best_1_bin,0.017186714730854515,-
Schwefel 2.21,5,20,uniform_adaptive_de_rand_1_bin,0.03204734265621816,-
Schwefel 2.21,5,20,uniform_adaptive_de_best_1_bin,0.022890284595525123,-
Rosenbrock,10,50,uniform_adaptive_de_current_to_best_1_bin,0.023366329107773545,+
Schwefel 2.22,5,20,uniform_adaptive_de_current_to_rand_1_bin,0.043125835713418485,+
Schwefel 1.2,5,20,uniform_adaptive_de_current_to_rand_1_bin,0.0014088976607457401,-
Schwefel 1.2,50,50,uniform_adaptive_de_current_to_rand_1_bin,0.04600839638473446,-
Rosenbrock,5,20,uniform_adaptive_de_current_to_rand_1_bin,0.025140244629727224,+
Griewank,50,50,uniform_adaptive_de_unified_bin,0.016808117509933,+
Schwefel 2.21,30,20,rl_default_adaptive_de_rand_1_bin,0.021923477848035878,-
Schwefel 2.21,30,20,rl_default_adaptive_de_best_1_bin,0.009337585568118197,+
Rosenbrock,10,50,rl_default_adaptive_de_current_to_best_1_bin,0.046770460017184205,+
Ackley,100,90,rl_default_adaptive_de_current_to_best_1_bin,0.04458097414021783,-
Schwefel 1.2,30,50,rl_default_adaptive_de_current_to_rand_1_bin,0.04649267756126853,+
Rosenbrock,10,50,rl_default_adaptive_de_current_to_rand_1_bin,0.021525261752777757,-
Schwefel 2.21,5,20,rl_default_adaptive_de_rand_to_best_1_bin,0.021741682793085238,-
Schwefel 2.21,10,20,rl_default_adaptive_de_rand_to_best_1_bin,0.01959413581487826,+
Schwefel 2.21,10,20,rl_default_adaptive_de_unified_bin,0.026528439112644877,-
Rosenbrock,5,20,rl_uniform_adaptive_de_rand_1_bin,0.049270024498990664,+
Rastrigin,100,90,rl_uniform_adaptive_de_current_to_best_1_bin,0.03723715007168066,-
Schwefel 2.21,30,20,rl_uniform_adaptive_de_current_to_rand_1_bin,0.017394304589681865,+
Schwefel 1.2,10,50,rl_uniform_adaptive_de_current_to_rand_1_bin,0.013731651544407144,-
Rosenbrock,50,40,rl_uniform_adaptive_de_current_to_rand_1_bin,0.0405828950924528,+
Schwefel 2.21,30,20,rl_uniform_adaptive_de_rand_to_best_1_bin,0.018686619115747632,+
Rosenbrock,30,50,rl_uniform_adaptive_de_unified_bin,0.0012872822261425817,-
Schwefel 2.22,5,20,default_adaptive_de_rand_1_covbin,0.036438387773170856,-
Schwefel 1.2,50,50,default_adaptive_de_rand_1_covbin,3.215898833873348e-56,-
Rosenbrock,50,40,default_adaptive_de_rand_1_covbin,3.7002033681409164e-56,-
Rastrigin,50,50,default_adaptive_de_rand_1_covbin,8.318475974752954e-56,-
Rastrigin,100,90,default_adaptive_de_rand_1_covbin,2.858387414571942e-27,-
Ackley,50,50,default_adaptive_de_rand_1_covbin,3.21578691943648e-56,-
Ackley,100,90,default_adaptive_de_rand_1_covbin,9.047450871437651e-36,-
Griewank,50,50,default_adaptive_de_rand_1_covbin,3.21578691943648e-56,-
Griewank,100,90,default_adaptive_de_rand_1_covbin,2.9679768949221066e-43,-
Schwefel 2.21,10,20,default_adaptive_de_best_1_covbin,0.04190162378266025,+
Schwefel 1.2,50,50,default_adaptive_de_best_1_covbin,3.215898833873348e-56,-
Rosenbrock,50,40,default_adaptive_de_best_1_covbin,4.343208382029457e-56,-
Rastrigin,50,50,default_adaptive_de_best_1_covbin,1.6387848584871593e-55,-
Rastrigin,100,90,default_adaptive_de_best_1_covbin,1.0923251472151382e-46,-
Ackley,50,50,default_adaptive_de_best_1_covbin,7.231791012053303e-56,-
Ackley,100,90,default_adaptive_de_best_1_covbin,3.925528273843165e-52,-
Griewank,50,50,default_adaptive_de_best_1_covbin,1.1713107941372362e-55,-
Griewank,100,90,default_adaptive_de_best_1_covbin,1.0374375248388791e-51,-
Schwefel 1.2,5,20,default_adaptive_de_current_to_best_1_covbin,0.025222550979618324,-
Schwefel 1.2,50,50,default_adaptive_de_current_to_best_1_covbin,6.102841774267827e-56,-
Rosenbrock,50,40,default_adaptive_de_current_to_best_1_covbin,3.215898833873348e-56,-
Rastrigin,50,50,default_adaptive_de_current_to_best_1_covbin,5.20043301725168e-56,-
Rastrigin,100,90,default_adaptive_de_current_to_best_1_covbin,1.3305437985573714e-36,-
