ProblemName,NumDims,PopSize,AlgorithmName,PValue,Change
Schwefel 1.2,50,50,default_adaptive_de_rand_1_bin,0.024836366983856942,+
Ackley,50,50,default_adaptive_de_rand_1_bin,0.006489502857759232,+
Schwefel 2.22,5,20,default_adaptive_de_best_1_bin,0.031215186499123034,+
Schwefel 2.22,10,20,default_adaptive_de_current_to_best_1_bin,0.0029329119493137733,+
Schwefel 2.21,10,20,default_adaptive_de_current_to_best_1_bin,0.024396167942841787,-
Rastrigin,100,90,default_adaptive_de_current_to_best_1_bin,0.0437537446378714,+
Griewank,50,50,default_adaptive_de_current_to_best_1_bin,0.02068441205928127,-
Schwefel 2.22,10,20,default_adaptive_de_current_to_rand_1_bin,0.013457222917091578,+
Griewank,100,90,default_adaptive_de_rand_to_best_1_bin,2.0453328069596174e-8,-
Sphere,10,20,default_adaptive_de_unified_bin,0.00016041485928022846,-
Schwefel 2.21,10,20,default_adaptive_de_unified_bin,0.045214367056389745,-
Griewank,100,90,default_adaptive_de_unified_bin,7.066071930388952e-18,-
Rosenbrock,10,50,uniform_adaptive_de_rand_1_bin,0.014811099505669164,+
Sphere,5,20,uniform_adaptive_de_current_to_rand_1_bin,0.014531098515685598,+
Schwefel 1.2,10,50,uniform_adaptive_de_current_to_rand_1_bin,0.029630103592925897,-
Ackley,50,50,uniform_adaptive_de_current_to_rand_1_bin,0.00613475101399899,-
Rastrigin,50,50,rl_default_adaptive_de_rand_1_bin,0.006518274183334518,+
Ackley,100,90,rl_default_adaptive_de_rand_1_bin,0.03875754984981417,+
Schwefel 2.22,30,20,rl_default_adaptive_de_best_1_bin,9.680833049114401e-5,-
Schwefel 1.2,10,50,rl_default_adaptive_de_best_1_bin,7.066071930388952e-18,+
Schwefel 1.2,30,50,rl_default_adaptive_de_best_1_bin,3.768376697374409e-15,+
Schwefel 1.2,50,50,rl_default_adaptive_de_best_1_bin,0.0021320260796790762,+
Rastrigin,50,50,rl_default_adaptive_de_best_1_bin,3.094116459585041e-13,-
Rastrigin,100,90,rl_default_adaptive_de_best_1_bin,1.2018654293015026e-16,-
Ackley,50,50,rl_default_adaptive_de_best_1_bin,3.834261900636658e-17,-
Ackley,100,90,rl_default_adaptive_de_best_1_bin,7.062885236832326e-18,-
Griewank,50,50,rl_default_adaptive_de_best_1_bin,4.060818962443167e-6,-
Griewank,100,90,rl_default_adaptive_de_best_1_bin,1.3800615840786732e-10,-
Sphere,30,20,rl_default_adaptive_de_current_to_best_1_bin,1.0024078465470537e-6,-
Schwefel 2.22,30,20,rl_default_adaptive_de_current_to_best_1_bin,0.03960883355776073,-
Schwefel 2.21,10,20,rl_default_adaptive_de_current_to_best_1_bin,0.008891325079370807,-
Schwefel 1.2,5,20,rl_default_adaptive_de_current_to_best_1_bin,0.0012389650765167626,+
Schwefel 1.2,10,50,rl_default_adaptive_de_current_to_best_1_bin,7.066071930388952e-18,+
Schwefel 1.2,30,50,rl_default_adaptive_de_current_to_best_1_bin,6.193572581462569e-14,+
Schwefel 1.2,50,50,rl_default_adaptive_de_current_to_best_1_bin,0.005073372398608196,+
Rastrigin,50,50,rl_default_adaptive_de_current_to_best_1_bin,1.8702681549493622e-7,-
Rastrigin,100,90,rl_default_adaptive_de_current_to_best_1_bin,2.6913129710126514e-16,-
Ackley,50,50,rl_default_adaptive_de_current_to_best_1_bin,1.7178583552079068e-14,-
Ackley,100,90,rl_default_adaptive_de_current_to_best_1_bin,7.064478413426773e-18,-
Griewank,50,50,rl_default_adaptive_de_current_to_best_1_bin,8.047753290257096e-6,-
Griewank,100,90,rl_default_adaptive_de_current_to_best_1_bin,3.0300727672212243e-6,-
Sphere,30,20,rl_default_adaptive_de_rand_to_best_1_bin,0.037034774347898966,-
Schwefel 2.21,30,20,rl_default_adaptive_de_rand_to_best_1_bin,0.01890770439299308,+
Schwefel 1.2,10,50,rl_default_adaptive_de_rand_to_best_1_bin,2.2165401508346447e-6,+
Schwefel 1.2,30,50,rl_default_adaptive_de_rand_to_best_1_bin,0.005642418601014199,-
Schwefel 1.2,50,50,rl_default_adaptive_de_rand_to_best_1_bin,1.371371835688573e-6,-
Rastrigin,50,50,rl_default_adaptive_de_rand_to_best_1_bin,2.5269015412890144e-9,-
Rastrigin,100,90,rl_default_adaptive_de_rand_to_best_1_bin,5.564629970024054e-12,-
Ackley,50,50,rl_default_adaptive_de_rand_to_best_1_bin,7.059035528951103e-5,-
Ackley,100,90,rl_default_adaptive_de_rand_to_best_1_bin,0.0009021942163357138,-
Griewank,50,50,rl_default_adaptive_de_rand_to_best_1_bin,0.0482591388249651,-
Griewank,100,90,rl_default_adaptive_de_rand_to_best_1_bin,1.6997729476775052e-16,-
Schwefel 1.2,30,50,rl_default_adaptive_de_unified_bin,4.548448483233758e-5,-
Schwefel 1.2,50,50,rl_default_adaptive_de_unified_bin,8.01286227958785e-8,-
Rosenbrock,10,50,rl_default_adaptive_de_unified_bin,0.007101713816911128,+
Rosenbrock,30,50,rl_default_adaptive_de_unified_bin,0.012698459870504322,-
Rastrigin,100,90,rl_default_adaptive_de_unified_bin,4.497041629853525e-16,-
Ackley,50,50,rl_default_adaptive_de_unified_bin,4.333079885001341e-6,-
Ackley,100,90,rl_default_adaptive_de_unified_bin,0.0010454119176169796,-
Griewank,100,90,rl_default_adaptive_de_unified_bin,7.066071930388952e-18,-
Sphere,5,20,rl_uniform_adaptive_de_best_1_bin,6.332691070397945e-7,-
Sphere,10,20,rl_uniform_adaptive_de_best_1_bin,9.810028148977366e-11,-
Sphere,30,20,rl_uniform_adaptive_de_best_1_bin,1.1246547388531444e-10,-
Schwefel 2.22,5,20,rl_uniform_adaptive_de_best_1_bin,4.933310956321222e-9,-
Schwefel 2.22,10,20,rl_uniform_adaptive_de_best_1_bin,1.1196510781442768e-8,-
Schwefel 2.22,30,20,rl_uniform_adaptive_de_best_1_bin,5.893940051571939e-8,-
Schwefel 1.2,5,20,rl_uniform_adaptive_de_best_1_bin,0.0007032409971811098,-
Schwefel 1.2,10,50,rl_uniform_adaptive_de_best_1_bin,4.2032009947278174e-13,-
Schwefel 1.2,30,50,rl_uniform_adaptive_de_best_1_bin,7.066071930388952e-18,-
Schwefel 1.2,50,50,rl_uniform_adaptive_de_best_1_bin,7.066071930388952e-18,-
Rosenbrock,10,50,rl_uniform_adaptive_de_best_1_bin,9.422979818135933e-10,-
Rosenbrock,30,50,rl_uniform_adaptive_de_best_1_bin,1.2865905627264306e-17,-
Rosenbrock,50,40,rl_uniform_adaptive_de_best_1_bin,7.504054797180583e-18,-
Rastrigin,50,50,rl_uniform_adaptive_de_best_1_bin,5.0154613475706734e-17,-
Rastrigin,100,90,rl_uniform_adaptive_de_best_1_bin,1.0754139248744229e-17,-
Ackley,50,50,rl_uniform_adaptive_de_best_1_bin,8.985195635994009e-18,-
Ackley,100,90,rl_uniform_adaptive_de_best_1_bin,7.066071930388952e-18,-
Griewank,50,50,rl_uniform_adaptive_de_best_1_bin,7.482886249556147e-16,-
Griewank,100,90,rl_uniform_adaptive_de_best_1_bin,7.502365180895655e-18,-
Sphere,30,20,rl_uniform_adaptive_de_current_to_best_1_bin,0.005073372398608196,-
Schwefel 1.2,5,20,rl_uniform_adaptive_de_current_to_best_1_bin,0.0482591388249651,-
Schwefel 1.2,30,50,rl_uniform_adaptive_de_current_to_best_1_bin,1.3493221354195938e-16,-
Schwefel 1.2,50,50,rl_uniform_adaptive_de_current_to_best_1_bin,3.7391900244156067e-17,-
Rosenbrock,10,50,rl_uniform_adaptive_de_current_to_best_1_bin,0.013979035882242226,-
Rosenbrock,30,50,rl_uniform_adaptive_de_current_to_best_1_bin,2.5269015412890144e-9,-
Rosenbrock,50,40,rl_uniform_adaptive_de_current_to_best_1_bin,1.4762899829624503e-10,-
Rastrigin,50,50,rl_uniform_adaptive_de_current_to_best_1_bin,4.422535417914962e-13,-
Rastrigin,100,90,rl_uniform_adaptive_de_current_to_best_1_bin,3.323698364480328e-17,-
Ackley,50,50,rl_uniform_adaptive_de_current_to_best_1_bin,5.03790864556734e-16,-
Ackley,100,90,rl_uniform_adaptive_de_current_to_best_1_bin,7.066071930388952e-18,-
Griewank,50,50,rl_uniform_adaptive_de_current_to_best_1_bin,0.00026193467872950344,-
Griewank,100,90,rl_uniform_adaptive_de_current_to_best_1_bin,1.2311714682017277e-10,-
Rosenbrock,10,50,rl_uniform_adaptive_de_current_to_rand_1_bin,0.009635874609510015,-
Griewank,100,90,rl_uniform_adaptive_de_current_to_rand_1_bin,0.01774972345550689,+
Schwefel 1.2,10,50,rl_uniform_adaptive_de_rand_to_best_1_bin,1.045790664993817e-7,+
Schwefel 1.2,30,50,rl_uniform_adaptive_de_rand_to_best_1_bin,2.2104808955267427e-7,+
Schwefel 1.2,50,50,rl_uniform_adaptive_de_rand_to_best_1_bin,0.0004557378208648717,+
Rosenbrock,10,50,rl_uniform_adaptive_de_rand_to_best_1_bin,5.844879227217417e-15,+
Rosenbrock,30,50,rl_uniform_adaptive_de_rand_to_best_1_bin,8.483747345364107e-17,+
Rosenbrock,50,40,rl_uniform_adaptive_de_rand_to_best_1_bin,0.0001560364787527335,+
Rastrigin,50,50,rl_uniform_adaptive_de_rand_to_best_1_bin,3.3167672721216005e-6,-
Rastrigin,100,90,rl_uniform_adaptive_de_rand_to_best_1_bin,6.216205861053659e-6,-
Ackley,100,90,rl_uniform_adaptive_de_rand_to_best_1_bin,9.723090421266434e-9,+
Schwefel 2.22,30,20,rl_uniform_adaptive_de_unified_bin,0.024396167942841787,-
Schwefel 1.2,10,50,rl_uniform_adaptive_de_unified_bin,1.2120089810875061e-17,+
Schwefel 1.2,30,50,rl_uniform_adaptive_de_unified_bin,7.066071930388952e-18,+
Schwefel 1.2,50,50,rl_uniform_adaptive_de_unified_bin,1.3565669426266993e-13,+
Rosenbrock,10,50,rl_uniform_adaptive_de_unified_bin,1.1242516404275405e-9,+
Rosenbrock,30,50,rl_uniform_adaptive_de_unified_bin,5.455317291604874e-8,+
Rastrigin,100,90,rl_uniform_adaptive_de_unified_bin,0.0034288047477894763,-
Ackley,50,50,rl_uniform_adaptive_de_unified_bin,1.8954659410431655e-8,-
